price_id,community_id,trans_date,street,road,shift_floor,room,bath_room,building_area,attach_area,month,trans_month,price
4120148,14292,8/1/2020,1,0,13,3,2,22.5847,3.0159,1,A,169097.1482
4138158,14292,7/2/2020,1,0,9,3,2,25.404,2.8828,1,A,119392.3761
4146677,14292,16/1/2020,1,0,7,3,2,22.4153,3.0159,1,A,130319.8421
4147149,14292,8/2/2020,0,1,8,4,2,26.8953,1.0134,1,A,126755.5646
4157790,14292,1/3/2020,0,1,7,2,1,18.2347,2.6529,1,A,133021.6825
4167605,14292,10/3/2020,1,0,14,3,2,22.5847,3.0734,1,A,115511.5003
4176740,14292,6/3/2020,0,1,6,3,2,25.9878,2.4624,1,A,118962.9748
4177229,14292,19/2/2020,0,1,10,3,2,25.4221,2.2204,1,A,136355.8889
4196513,14292,16/2/2020,1,0,3,3,2,22.4153,3.022,1,A,122812.7349
4196539,14292,14/3/2020,1,0,2,3,2,24.2998,2.4805,1,A,156554.055
4196772,14292,22/3/2020,1,0,2,3,2,24.2998,2.4805,1,A,156762.8337
4196998,14292,24/3/2020,1,0,3,3,2,22.4153,3.022,1,A,141256.0835
4205352,14292,15/3/2020,0,1,11,3,2,22.3638,3.0371,1,A,130084.1427
4205795,14292,14/4/2020,1,0,3,3,2,25.404,2.8828,2,B,127902.62
4235253,14292,10/5/2020,1,0,5,1,1,6.8184,0.9589,2,B,141690.5211
4235770,14292,16/4/2020,1,0,2,3,1,22.5847,2.5592,2,B,148476.1279
4247238,14292,22/5/2020,1,0,3,3,2,19.3661,2.5108,2,B,130063.4421
4247769,14292,21/5/2020,1,0,11,3,2,25.0682,3.2277,2,B,164286.8281
4248039,14292,13/5/2020,1,0,7,3,2,22.4153,3.0159,2,B,149864.303
4262881,14292,24/5/2020,0,1,8,4,2,25.292,2.8254,2,B,130355.5485
4301340,14292,31/5/2020,1,0,13,3,2,19.3661,2.5168,2,B,133559.5423
4301374,14292,1/6/2020,0,1,3,2,1,17.3514,2.5471,2,B,123841.9776
4301406,14292,22/6/2020,1,0,11,1,1,6.8184,0.9589,2,B,153178.9417
